label,rms_mean,zcr_mean,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,onset_strength_mean
Bass,0.108,0.005,184.19,454.249,283.661,0.048
Claps,0.016,0.233,3762.595,3014.233,7356.686,0.251
Cymbals,0.009,0.331,4518.571,2835.2,7782.597,0.524
FX n Noise,0.015,0.232,3893.511,2979.692,7279.262,0.228
Hats,0.01,0.677,6142.072,3107.391,9837.156,0.101
Hi Perc,0.007,0.17,3317.753,2950.78,6621.643,0.145
Kicks,0.086,0.113,2129.097,2360.942,4424.462,0.028
Lo Perc,0.017,0.118,2836.491,2684.464,5932.467,0.185
Snares,0.018,0.319,4198.869,3052.863,7791.971,0.12
Synth1,0.079,0.046,1105.35,1282.541,2189.358,0.339
Synth2,0.18,0.108,2412.797,2470.739,4903.48,0.646
